editPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,webLinkTimes,stuck
19.512195,0,0,0,80.487805,0,NO
82.758621,0,0,0,17.241379,0,NO
86.206897,0,0,0,13.793103,0,NO
38.77551,36.734694,4.081633,20.408163,0,0,NO
85,0,0,0,15,0,NO
91.666667,0,0,0,8.333333,0,NO
84.375,0,0,0,15.625,0,NO
40.740741,33.333333,0,14.814815,11.111111,0,NO
90,0,0,0,10,0,NO
91.304348,0,0,0,8.695652,0,NO
81.395349,0,0,0,18.604651,0,NO
82.352941,0,0,5.882353,11.764706,0,NO
89.74359,0,0,0,10.25641,0,NO
85,0,0,0,15,0,NO
78.571429,0,0,0,21.428571,0,NO
71.111111,0,0,0,28.888889,0,NO
90.47619,0,0,0,9.52381,0,NO
91.489362,0,0,0,8.510638,0,NO
73.913043,0,0,0,26.086957,0,NO
86.363636,0,0,0,13.636364,0,NO
85.365854,0,0,0,14.634146,0,NO
82.222222,0,0,0,17.777778,0,NO
86.956522,0,0,0,13.043478,0,NO
84.375,0,3.125,6.25,6.25,0,NO
87.5,0,0,0,12.5,0,NO
17.391304,67.391304,2.173913,13.043478,0,0,NO
83.928571,12.5,0,3.571429,0,0,NO
63.043478,15.217391,0,4.347826,17.391304,0,NO
44.680851,34.042553,0,12.765957,8.510638,0,NO
79.487179,0,0,5.128205,15.384615,0,NO
90.909091,0,0,0,9.090909,0,NO
76.744186,0,4.651163,0,18.604651,0,NO
84.090909,0,0,0,15.909091,0,NO
79.411765,0,0,0,20.588235,0,NO
51.06383,23.404255,0,17.021277,8.510638,0,NO
76.744186,0,0,4.651163,18.604651,0,NO
0,0,0,0,0,0,NO
0,0,0,0,0,0,NO
0,0,0,0,0,0,NO
38.333333,0,1.666667,41.666667,18.333333,0,NO
74.509804,0,0,0,25.490196,16,NO
40.350877,0,3.508772,49.122807,7.017544,0,NO
68.571429,0,2.857143,22.857143,5.714286,0,NO
78.571429,0,0,21.428571,0,0,NO
77.5,0,0,10,12.5,0,NO
78.26087,0,0,13.043478,8.695652,0,NO
50,19.444444,0,25,5.555556,3,NO
71.875,6.25,3.125,18.75,0,0,NO
82.758621,0,0,0,17.241379,0,NO
60,0,0,0,40,0,NO
81.25,0,0,0,18.75,0,NO
74.358974,0,12.820513,5.128205,7.692308,0,NO
90.909091,0,0,0,9.090909,0,NO
80,0,0,0,20,0,NO
88.888889,0,0,0,11.111111,0,NO
100,0,0,0,0,0,NO
100,0,0,0,0,0,NO
67.741935,0,0,19.354839,12.903226,2,NO
73.913043,0,0,26.086957,0,0,NO
100,0,0,0,0,0,NO
66.666667,0,0,20,13.333333,0,NO
74.193548,0,0,0,25.806452,0,NO
95,0,5,0,0,0,NO
100,0,0,0,0,0,NO
91.428571,0,8.571429,0,0,0,NO
51.162791,23.255814,2.325581,23.255814,0,0,NO
52.083333,18.75,8.333333,16.666667,4.166667,0,NO
74.418605,0,6.976744,9.302326,9.302326,0,NO
82.926829,0,4.878049,0,12.195122,0,NO
59.574468,19.148936,0,17.021277,4.255319,0,NO
73.913043,0,8.695652,17.391304,0,0,NO
81.25,0,6.25,12.5,0,0,NO
71.428571,0,0,9.52381,19.047619,0,NO
83.783784,0,0,10.810811,5.405405,0,NO
84.375,0,3.125,6.25,6.25,4,NO
83.333333,0,4.761905,7.142857,4.761905,0,NO
56.756757,24.324324,13.513514,5.405405,0,0,NO
71.428571,0,4.761905,4.761905,19.047619,0,NO
93.75,0,6.25,0,0,0,NO
100,0,0,0,0,0,NO
100,0,0,0,0,0,NO
100,0,0,0,0,0,NO
100,0,0,0,0,0,NO
79.487179,0,5.128205,0,15.384615,0,NO
64.444444,20,0,8.888889,6.666667,0,NO
69.69697,0,0,12.121212,18.181818,0,NO
70.37037,0,0,14.814815,14.814815,0,NO
88.571429,0,0,0,11.428571,0,NO
62.857143,25.714286,0,11.428571,0,0,NO
54.054054,29.72973,0,16.216216,0,0,NO
64.516129,22.580645,0,12.903226,0,0,NO
65.789474,5.263158,7.894737,15.789474,5.263158,0,NO
56.666667,0,0,0,43.333333,0,NO
84,0,0,0,16,0,NO
80,0,0,0,20,0,NO
89.473684,0,0,0,10.526316,0,NO
100,0,0,0,0,0,NO
41.176471,26.470588,0,5.882353,26.470588,0,NO
40,0,0,0,60,0,NO
36.363636,40.909091,4.545455,9.090909,9.090909,8,NO
52.631579,0,5.263158,15.789474,26.315789,0,NO
66.666667,0,0,20,13.333333,0,NO
47.727273,36.363636,0,15.909091,0,5,NO
71.794872,5.128205,0,12.820513,10.25641,0,NO
78.571429,0,0,0,21.428571,0,NO
57.142857,25.714286,0,5.714286,11.428571,0,NO
67.741935,25.806452,0,6.451613,0,0,NO
61.904762,23.809524,0,14.285714,0,0,NO
61.538462,15.384615,0,0,23.076923,3,NO
57.142857,20,0,11.428571,11.428571,0,NO
51.020408,32.653061,0,12.244898,4.081633,0,NO
64.285714,21.428571,0,4.761905,9.52381,0,NO
100,0,0,0,0,0,NO
54.83871,0,0,0,45.16129,0,NO
52.5,22.5,5,15,5,0,NO
65.853659,0,0,0,34.146341,0,NO
47.5,22.5,0,5,25,3,NO
0,0,0,0,0,0,NO
14.545455,0,5.454545,76.363636,3.636364,0,NO
68.085106,0,0,21.276596,10.638298,3,NO
66.666667,0,4.166667,20.833333,8.333333,3,NO
63.157895,0,5.263158,21.052632,10.526316,0,NO
78.125,0,3.125,12.5,6.25,0,NO
64.516129,0,0,25.806452,9.677419,0,NO
42.857143,0,0,39.285714,17.857143,0,NO
57.142857,0,10.714286,17.857143,14.285714,0,NO
68.965517,0,0,6.896552,24.137931,0,NO
96.774194,0,0,0,3.225806,0,NO
